Class	Length	Reads
Clean_Reads	17	51603
Clean_Reads	18	59350
Clean_Reads	19	56026
Clean_Reads	20	67982
Clean_Reads	21	93946
Clean_Reads	22	161041
Clean_Reads	23	88460
Clean_Reads	24	77886
Clean_Reads	25	69399
Clean_Reads	26	87564
Clean_Reads	27	193562
Clean_Reads	28	444390
Clean_Reads	29	664250
Clean_Reads	30	1416808
Clean_Reads	31	662819
Clean_Reads	32	411889
Clean_Reads	33	245904
Clean_Reads	34	144518
Clean_Reads	35	88019
Clean_Reads	36	104162
Clean_Reads	37	58442
Clean_Reads	38	40117
Clean_Reads	39	48810
Clean_Reads	40	31968
Clean_Reads	41	65894
Match_Genome	17	48105
Match_Genome	18	54140
Match_Genome	19	45799
Match_Genome	20	52141
Match_Genome	21	79470
Match_Genome	22	140814
Match_Genome	23	76184
Match_Genome	24	64989
Match_Genome	25	51389
Match_Genome	26	50250
Match_Genome	27	94105
Match_Genome	28	330824
Match_Genome	29	299040
Match_Genome	30	1264924
Match_Genome	31	617856
Match_Genome	32	384310
Match_Genome	33	224731
Match_Genome	34	102188
Match_Genome	35	60244
Match_Genome	36	43542
Match_Genome	37	41617
Match_Genome	38	28964
Match_Genome	39	23172
Match_Genome	40	17884
Match_Genome	41	25486
miRBase-miRNA_Match_Genome	17	1836.00
miRBase-miRNA_Match_Genome	18	2143.00
miRBase-miRNA_Match_Genome	19	3911.00
miRBase-miRNA_Match_Genome	20	11604.00
miRBase-miRNA_Match_Genome	21	38752.00
miRBase-miRNA_Match_Genome	22	81327.00
miRBase-miRNA_Match_Genome	23	26718.00
miRBase-miRNA_Match_Genome	24	13546.00
miRBase-miRNA_Match_Genome	25	1180.00
miRBase-miRNA_Match_Genome	26	712.00
miRBase-miRNA_Match_Genome	27	724.00
miRBase-miRNA_Match_Genome	28	181.00
miRBase-miRNA_Match_Genome	29	122.00
miRBase-miRNA_Match_Genome	30	180.00
miRBase-miRNA_Match_Genome	31	109.00
miRBase-miRNA_Match_Genome	32	60.00
miRBase-miRNA_Match_Genome	33	42.00
miRBase-miRNA_Match_Genome	34	36.00
miRBase-miRNA_Match_Genome	35	56.00
miRBase-miRNA_Match_Genome	36	11.00
miRBase-miRNA_Match_Genome	37	18.00
miRBase-miRNA_Match_Genome	38	24.00
miRBase-miRNA_Match_Genome	39	23.00
miRBase-miRNA_Match_Genome	40	45.00
miRBase-miRNA_Match_Genome	41	21.00
miRBase-miRNA_Unmatch_Genome	17	1.00
miRBase-miRNA_Unmatch_Genome	18	5.00
miRBase-miRNA_Unmatch_Genome	19	2.00
miRBase-miRNA_Unmatch_Genome	20	5.00
miRBase-miRNA_Unmatch_Genome	21	24.00
miRBase-miRNA_Unmatch_Genome	22	12.00
miRBase-miRNA_Unmatch_Genome	23	20.00
miRBase-miRNA_Unmatch_Genome	24	30.00
miRBase-miRNA_Unmatch_Genome	25	77.00
miRBase-miRNA_Unmatch_Genome	26	82.00
miRBase-miRNA_Unmatch_Genome	27	36.00
miRBase-miRNA_Unmatch_Genome	28	3.00
miRBase-miRNA_Unmatch_Genome	29	3.00
miRBase-miRNA_Unmatch_Genome	30	1.00
miRBase-miRNA_Unmatch_Genome	31	2.00
miRBase-miRNA_Unmatch_Genome	32	5.00
miRBase-miRNA_Unmatch_Genome	33	4.00
miRBase-miRNA_Unmatch_Genome	34	16.00
miRBase-miRNA_Unmatch_Genome	35	18.00
miRBase-miRNA_Unmatch_Genome	36	21.00
miRBase-miRNA_Unmatch_Genome	37	18.00
miRBase-miRNA_Unmatch_Genome	38	11.00
miRBase-miRNA_Unmatch_Genome	39	10.00
miRBase-miRNA_Unmatch_Genome	40	7.00
miRBase-miRNA_Unmatch_Genome	41	3.00
rRNAdb-rRNA_Match_Genome	17	20443.00
rRNAdb-rRNA_Match_Genome	18	19830.00
rRNAdb-rRNA_Match_Genome	19	19147.00
rRNAdb-rRNA_Match_Genome	20	16827.00
rRNAdb-rRNA_Match_Genome	21	17941.00
rRNAdb-rRNA_Match_Genome	22	22852.00
rRNAdb-rRNA_Match_Genome	23	26181.00
rRNAdb-rRNA_Match_Genome	24	23283.00
rRNAdb-rRNA_Match_Genome	25	24139.00
rRNAdb-rRNA_Match_Genome	26	20911.00
rRNAdb-rRNA_Match_Genome	27	17417.00
rRNAdb-rRNA_Match_Genome	28	20719.00
rRNAdb-rRNA_Match_Genome	29	17952.00
rRNAdb-rRNA_Match_Genome	30	18008.00
rRNAdb-rRNA_Match_Genome	31	16689.00
rRNAdb-rRNA_Match_Genome	32	13089.00
rRNAdb-rRNA_Match_Genome	33	16081.00
rRNAdb-rRNA_Match_Genome	34	14651.00
rRNAdb-rRNA_Match_Genome	35	18600.00
rRNAdb-rRNA_Match_Genome	36	13922.00
rRNAdb-rRNA_Match_Genome	37	10561.00
rRNAdb-rRNA_Match_Genome	38	9618.00
rRNAdb-rRNA_Match_Genome	39	8923.00
rRNAdb-rRNA_Match_Genome	40	5588.00
rRNAdb-rRNA_Match_Genome	41	5754.00
rRNAdb-18S-rRNA_Match_Genome	17	4167.00
rRNAdb-18S-rRNA_Match_Genome	18	5376.00
rRNAdb-18S-rRNA_Match_Genome	19	4833.00
rRNAdb-18S-rRNA_Match_Genome	20	4872.00
rRNAdb-18S-rRNA_Match_Genome	21	5185.00
rRNAdb-18S-rRNA_Match_Genome	22	5149.00
rRNAdb-18S-rRNA_Match_Genome	23	6623.00
rRNAdb-18S-rRNA_Match_Genome	24	9058.00
rRNAdb-18S-rRNA_Match_Genome	25	6898.00
rRNAdb-18S-rRNA_Match_Genome	26	4491.00
rRNAdb-18S-rRNA_Match_Genome	27	4397.00
rRNAdb-18S-rRNA_Match_Genome	28	4945.00
rRNAdb-18S-rRNA_Match_Genome	29	7903.00
rRNAdb-18S-rRNA_Match_Genome	30	4624.00
rRNAdb-18S-rRNA_Match_Genome	31	3752.00
rRNAdb-18S-rRNA_Match_Genome	32	3341.00
rRNAdb-18S-rRNA_Match_Genome	33	3364.00
rRNAdb-18S-rRNA_Match_Genome	34	2975.00
rRNAdb-18S-rRNA_Match_Genome	35	2684.00
rRNAdb-18S-rRNA_Match_Genome	36	2355.00
rRNAdb-18S-rRNA_Match_Genome	37	2911.00
rRNAdb-18S-rRNA_Match_Genome	38	1921.00
rRNAdb-18S-rRNA_Match_Genome	39	2098.00
rRNAdb-18S-rRNA_Match_Genome	40	2277.00
rRNAdb-18S-rRNA_Match_Genome	41	1366.00
rRNAdb-28S-rRNA_Match_Genome	17	12983.00
rRNAdb-28S-rRNA_Match_Genome	18	11410.00
rRNAdb-28S-rRNA_Match_Genome	19	11274.00
rRNAdb-28S-rRNA_Match_Genome	20	9057.00
rRNAdb-28S-rRNA_Match_Genome	21	10303.00
rRNAdb-28S-rRNA_Match_Genome	22	14963.00
rRNAdb-28S-rRNA_Match_Genome	23	17730.00
rRNAdb-28S-rRNA_Match_Genome	24	12785.00
rRNAdb-28S-rRNA_Match_Genome	25	15746.00
rRNAdb-28S-rRNA_Match_Genome	26	15199.00
rRNAdb-28S-rRNA_Match_Genome	27	11852.00
rRNAdb-28S-rRNA_Match_Genome	28	14887.00
